Reading data from cleanedMatchTeamData.csv
Loading data...
Dataset size: 23000, Train DL size: 18400, Test DL size: 4600
Finished loading data!
Training model...
Epoch [1/50000], Loss: 1.0893, Train error: 0.5387, Dev error: 0.5520
Epoch [2/50000], Loss: 1.0865, Train error: 0.5387, Dev error: 0.5520
Epoch [3/50000], Loss: 1.0838, Train error: 0.5387, Dev error: 0.5520
Epoch [4/50000], Loss: 1.0814, Train error: 0.5387, Dev error: 0.5520
Epoch [5/50000], Loss: 1.0791, Train error: 0.5387, Dev error: 0.5520
Epoch [6/50000], Loss: 1.0769, Train error: 0.5387, Dev error: 0.5520
Epoch [7/50000], Loss: 1.0749, Train error: 0.5387, Dev error: 0.5520
Epoch [8/50000], Loss: 1.0730, Train error: 0.5387, Dev error: 0.5520
Epoch [9/50000], Loss: 1.0710, Train error: 0.5387, Dev error: 0.5520
Epoch [10/50000], Loss: 1.0692, Train error: 0.5387, Dev error: 0.5520
Epoch [11/50000], Loss: 1.0673, Train error: 0.5387, Dev error: 0.5520
Epoch [12/50000], Loss: 1.0655, Train error: 0.5387, Dev error: 0.5520
Epoch [13/50000], Loss: 1.0637, Train error: 0.5387, Dev error: 0.5520
Epoch [14/50000], Loss: 1.0618, Train error: 0.5387, Dev error: 0.5520
Epoch [15/50000], Loss: 1.0599, Train error: 0.5387, Dev error: 0.5520
Epoch [16/50000], Loss: 1.0580, Train error: 0.5387, Dev error: 0.5520
Epoch [17/50000], Loss: 1.0560, Train error: 0.5387, Dev error: 0.5520
Epoch [18/50000], Loss: 1.0540, Train error: 0.5387, Dev error: 0.5520
Epoch [19/50000], Loss: 1.0519, Train error: 0.5387, Dev error: 0.5520
Epoch [20/50000], Loss: 1.0498, Train error: 0.5387, Dev error: 0.5520
Epoch [21/50000], Loss: 1.0476, Train error: 0.5387, Dev error: 0.5520
Epoch [22/50000], Loss: 1.0455, Train error: 0.5387, Dev error: 0.5520
Epoch [23/50000], Loss: 1.0434, Train error: 0.5387, Dev error: 0.5520
Epoch [24/50000], Loss: 1.0413, Train error: 0.5387, Dev error: 0.5520
Epoch [25/50000], Loss: 1.0393, Train error: 0.5387, Dev error: 0.5520
Epoch [26/50000], Loss: 1.0373, Train error: 0.5387, Dev error: 0.5520
Epoch [27/50000], Loss: 1.0355, Train error: 0.5387, Dev error: 0.5520
Epoch [28/50000], Loss: 1.0337, Train error: 0.5387, Dev error: 0.5520
Epoch [29/50000], Loss: 1.0320, Train error: 0.5387, Dev error: 0.5520
Epoch [30/50000], Loss: 1.0304, Train error: 0.5387, Dev error: 0.5520
Epoch [31/50000], Loss: 1.0288, Train error: 0.5387, Dev error: 0.5520
Epoch [32/50000], Loss: 1.0273, Train error: 0.5387, Dev error: 0.5520
Epoch [33/50000], Loss: 1.0258, Train error: 0.5387, Dev error: 0.5520
Epoch [34/50000], Loss: 1.0244, Train error: 0.5387, Dev error: 0.5520
Epoch [35/50000], Loss: 1.0230, Train error: 0.5375, Dev error: 0.5500
Epoch [36/50000], Loss: 1.0216, Train error: 0.5216, Dev error: 0.5330
Epoch [37/50000], Loss: 1.0202, Train error: 0.5043, Dev error: 0.5126
Epoch [38/50000], Loss: 1.0189, Train error: 0.4934, Dev error: 0.4996
Epoch [39/50000], Loss: 1.0176, Train error: 0.4859, Dev error: 0.4913
Epoch [40/50000], Loss: 1.0163, Train error: 0.4812, Dev error: 0.4861
Epoch [41/50000], Loss: 1.0150, Train error: 0.4792, Dev error: 0.4833
Epoch [42/50000], Loss: 1.0138, Train error: 0.4773, Dev error: 0.4793
Epoch [43/50000], Loss: 1.0125, Train error: 0.4751, Dev error: 0.4763
Epoch [44/50000], Loss: 1.0113, Train error: 0.4730, Dev error: 0.4770
Epoch [45/50000], Loss: 1.0101, Train error: 0.4728, Dev error: 0.4743
Epoch [46/50000], Loss: 1.0090, Train error: 0.4722, Dev error: 0.4724
Epoch [47/50000], Loss: 1.0079, Train error: 0.4723, Dev error: 0.4722
Epoch [48/50000], Loss: 1.0069, Train error: 0.4719, Dev error: 0.4711
Epoch [49/50000], Loss: 1.0060, Train error: 0.4720, Dev error: 0.4711
Epoch [50/50000], Loss: 1.0051, Train error: 0.4713, Dev error: 0.4707
Epoch [51/50000], Loss: 1.0043, Train error: 0.4725, Dev error: 0.4720
Epoch [52/50000], Loss: 1.0036, Train error: 0.4724, Dev error: 0.4720
Epoch [53/50000], Loss: 1.0030, Train error: 0.4718, Dev error: 0.4726
Epoch [54/50000], Loss: 1.0024, Train error: 0.4723, Dev error: 0.4726
Epoch [55/50000], Loss: 1.0019, Train error: 0.4726, Dev error: 0.4730
Epoch [56/50000], Loss: 1.0015, Train error: 0.4729, Dev error: 0.4730
Epoch [57/50000], Loss: 1.0011, Train error: 0.4727, Dev error: 0.4730
Epoch [58/50000], Loss: 1.0007, Train error: 0.4727, Dev error: 0.4733
Epoch [59/50000], Loss: 1.0004, Train error: 0.4727, Dev error: 0.4726
Epoch [60/50000], Loss: 1.0001, Train error: 0.4727, Dev error: 0.4728
Epoch [61/50000], Loss: 0.9999, Train error: 0.4728, Dev error: 0.4733
Epoch [62/50000], Loss: 0.9996, Train error: 0.4728, Dev error: 0.4730
Epoch [63/50000], Loss: 0.9994, Train error: 0.4729, Dev error: 0.4726
Epoch [64/50000], Loss: 0.9992, Train error: 0.4727, Dev error: 0.4726
Epoch [65/50000], Loss: 0.9990, Train error: 0.4725, Dev error: 0.4724
Epoch [66/50000], Loss: 0.9988, Train error: 0.4723, Dev error: 0.4722
Epoch [67/50000], Loss: 0.9987, Train error: 0.4721, Dev error: 0.4722
Epoch [68/50000], Loss: 0.9985, Train error: 0.4718, Dev error: 0.4720
Epoch [69/50000], Loss: 0.9984, Train error: 0.4716, Dev error: 0.4724
Epoch [70/50000], Loss: 0.9982, Train error: 0.4715, Dev error: 0.4722
Epoch [71/50000], Loss: 0.9981, Train error: 0.4716, Dev error: 0.4724
Epoch [72/50000], Loss: 0.9980, Train error: 0.4715, Dev error: 0.4717
Epoch [73/50000], Loss: 0.9979, Train error: 0.4714, Dev error: 0.4715
Epoch [74/50000], Loss: 0.9978, Train error: 0.4709, Dev error: 0.4715
Epoch [75/50000], Loss: 0.9977, Train error: 0.4709, Dev error: 0.4717
Epoch [76/50000], Loss: 0.9976, Train error: 0.4709, Dev error: 0.4713
Epoch [77/50000], Loss: 0.9975, Train error: 0.4707, Dev error: 0.4713
Epoch [78/50000], Loss: 0.9974, Train error: 0.4709, Dev error: 0.4707
Epoch [79/50000], Loss: 0.9973, Train error: 0.4705, Dev error: 0.4707
Epoch [80/50000], Loss: 0.9972, Train error: 0.4704, Dev error: 0.4711
Epoch [81/50000], Loss: 0.9971, Train error: 0.4703, Dev error: 0.4709
Epoch [82/50000], Loss: 0.9970, Train error: 0.4703, Dev error: 0.4713
Epoch [83/50000], Loss: 0.9969, Train error: 0.4701, Dev error: 0.4711
Epoch [84/50000], Loss: 0.9968, Train error: 0.4699, Dev error: 0.4709
Epoch [85/50000], Loss: 0.9968, Train error: 0.4699, Dev error: 0.4709
Epoch [86/50000], Loss: 0.9967, Train error: 0.4699, Dev error: 0.4709
Epoch [87/50000], Loss: 0.9966, Train error: 0.4699, Dev error: 0.4711
Epoch [88/50000], Loss: 0.9965, Train error: 0.4698, Dev error: 0.4709
Epoch [89/50000], Loss: 0.9965, Train error: 0.4696, Dev error: 0.4709
Epoch [90/50000], Loss: 0.9964, Train error: 0.4693, Dev error: 0.4709
Epoch [91/50000], Loss: 0.9963, Train error: 0.4691, Dev error: 0.4709
Epoch [92/50000], Loss: 0.9963, Train error: 0.4693, Dev error: 0.4713
Epoch [93/50000], Loss: 0.9962, Train error: 0.4691, Dev error: 0.4713
Epoch [94/50000], Loss: 0.9961, Train error: 0.4689, Dev error: 0.4713
Epoch [95/50000], Loss: 0.9961, Train error: 0.4689, Dev error: 0.4713
Epoch [96/50000], Loss: 0.9960, Train error: 0.4689, Dev error: 0.4709
Epoch [97/50000], Loss: 0.9960, Train error: 0.4690, Dev error: 0.4707
Epoch [98/50000], Loss: 0.9959, Train error: 0.4689, Dev error: 0.4707
Epoch [99/50000], Loss: 0.9958, Train error: 0.4686, Dev error: 0.4707
Epoch [100/50000], Loss: 0.9958, Train error: 0.4686, Dev error: 0.4709
Epoch [101/50000], Loss: 0.9957, Train error: 0.4685, Dev error: 0.4711
Epoch [102/50000], Loss: 0.9957, Train error: 0.4683, Dev error: 0.4709
Epoch [103/50000], Loss: 0.9956, Train error: 0.4684, Dev error: 0.4704
Epoch [104/50000], Loss: 0.9956, Train error: 0.4683, Dev error: 0.4704
Epoch [105/50000], Loss: 0.9955, Train error: 0.4683, Dev error: 0.4702
Epoch [106/50000], Loss: 0.9954, Train error: 0.4682, Dev error: 0.4702
Epoch [107/50000], Loss: 0.9954, Train error: 0.4680, Dev error: 0.4698
Epoch [108/50000], Loss: 0.9953, Train error: 0.4679, Dev error: 0.4698
Epoch [109/50000], Loss: 0.9953, Train error: 0.4678, Dev error: 0.4693
Epoch [110/50000], Loss: 0.9952, Train error: 0.4675, Dev error: 0.4691
Epoch [111/50000], Loss: 0.9952, Train error: 0.4674, Dev error: 0.4689
Epoch [112/50000], Loss: 0.9951, Train error: 0.4673, Dev error: 0.4689
Epoch [113/50000], Loss: 0.9951, Train error: 0.4672, Dev error: 0.4687
Epoch [114/50000], Loss: 0.9950, Train error: 0.4671, Dev error: 0.4687
Epoch [115/50000], Loss: 0.9950, Train error: 0.4668, Dev error: 0.4687
Epoch [116/50000], Loss: 0.9949, Train error: 0.4667, Dev error: 0.4683
Epoch [117/50000], Loss: 0.9949, Train error: 0.4666, Dev error: 0.4680
Epoch [118/50000], Loss: 0.9948, Train error: 0.4665, Dev error: 0.4680
Epoch [119/50000], Loss: 0.9948, Train error: 0.4664, Dev error: 0.4680
Epoch [120/50000], Loss: 0.9947, Train error: 0.4663, Dev error: 0.4680
Epoch [121/50000], Loss: 0.9947, Train error: 0.4664, Dev error: 0.4680
Epoch [122/50000], Loss: 0.9946, Train error: 0.4661, Dev error: 0.4680
Epoch [123/50000], Loss: 0.9946, Train error: 0.4663, Dev error: 0.4683
Epoch [124/50000], Loss: 0.9945, Train error: 0.4662, Dev error: 0.4683
Epoch [125/50000], Loss: 0.9945, Train error: 0.4658, Dev error: 0.4685
Epoch [126/50000], Loss: 0.9945, Train error: 0.4658, Dev error: 0.4683
Epoch [127/50000], Loss: 0.9944, Train error: 0.4657, Dev error: 0.4687
Epoch [128/50000], Loss: 0.9944, Train error: 0.4656, Dev error: 0.4691
